resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,date,dob,nationality,name,country,driver_age,finished,points_scored
12,18,12,4,6.0,20,,R,12,0.0,30,,,20.0,16.0,1:31.384,208.907,8,2008,1,1,2008-03-16,1985-07-25,Brazilian,Renault,Australia,22.642026009582477,0,0.0
13,18,13,6,2.0,4,,R,13,0.0,29,,,23.0,6.0,1:28.175,216.51,5,2008,1,1,2008-03-16,1981-04-25,Brazilian,Ferrari,Australia,26.8911704312115,0,0.0
14,18,14,9,9.0,8,,R,14,0.0,25,,,21.0,11.0,1:29.502,213.3,4,2008,1,1,2008-03-16,1971-03-27,British,Red Bull,Australia,36.9719370294319,0,0.0
15,18,15,7,11.0,6,,R,15,0.0,19,,,18.0,10.0,1:29.310,213.758,10,2008,1,1,2008-03-16,1974-07-13,Italian,Toyota,Australia,33.67556468172484,0,0.0
16,18,16,10,20.0,22,,R,16,0.0,8,,,8.0,17.0,1:32.021,207.461,9,2008,1,1,2008-03-16,1983-01-11,German,Force India,Australia,25.177275838466805,0,0.0
17,18,17,9,10.0,14,,R,17,0.0,0,,,,,,,4,2008,1,1,2008-03-16,1976-08-27,Australian,Red Bull,Australia,31.550992470910334,0,0.0
18,18,18,11,16.0,12,,R,18,0.0,0,,,,,,,4,2008,1,1,2008-03-16,1980-01-19,British,Honda,Australia,28.15605749486653,0,0.0
19,18,19,8,19.0,21,,R,19,0.0,0,,,,,,,4,2008,1,1,2008-03-16,1979-04-18,British,Super Aguri,Australia,28.91170431211499,0,0.0
20,18,20,5,15.0,9,,R,20,0.0,0,,,,,,,4,2008,1,1,2008-03-16,1987-07-03,German,Toro Rosso,Australia,20.70362765229295,0,0.0
21,18,21,10,21.0,16,,R,21,0.0,0,,,,,,,4,2008,1,1,2008-03-16,1973-01-14,Italian,Force India,Australia,35.167693360711844,0,0.0
22,18,22,11,17.0,10,,D,22,0.0,58,,,44.0,8.0,1:28.736,215.141,2,2008,1,1,2008-03-16,1972-05-23,Brazilian,Honda,Australia,35.813826146475016,0,0.0
23,19,8,6,1.0,2,1,1,1,10.0,56,1:31:18.555,5478555.0,37.0,2.0,1:35.405,209.158,1,2008,2,2,2008-03-23,1979-10-17,Finnish,Ferrari,Malaysia,28.432580424366872,1,10.0
24,19,9,2,4.0,4,2,2,2,8.0,56,+19.570,5498125.0,39.0,6.0,1:35.921,208.033,1,2008,2,2,2008-03-23,1984-12-07,Polish,BMW Sauber,Malaysia,23.290896646132786,1,8.0
25,19,5,1,23.0,8,3,3,3,6.0,56,+38.450,5517005.0,19.0,7.0,1:35.922,208.031,1,2008,2,2,2008-03-23,1981-10-19,Finnish,McLaren,Malaysia,26.425735797399042,1,6.0
26,19,15,7,11.0,3,4,4,4,5.0,56,+45.832,5524387.0,53.0,8.0,1:36.068,207.715,1,2008,2,2,2008-03-23,1974-07-13,Italian,Toyota,Malaysia,33.69472963723477,1,5.0
27,19,1,1,22.0,9,5,5,5,4.0,56,+46.548,5525103.0,53.0,3.0,1:35.462,209.033,1,2008,2,2,2008-03-23,1985-01-07,British,McLaren,Malaysia,23.20602327173169,1,4.0
28,19,2,2,3.0,5,6,6,6,3.0,56,+49.833,5528388.0,55.0,1.0,1:35.366,209.244,1,2008,2,2,2008-03-23,1977-05-10,German,BMW Sauber,Malaysia,30.869267624914443,1,3.0
29,19,17,9,10.0,6,7,7,7,2.0,56,+1:08.130,5546685.0,53.0,12.0,1:36.696,206.366,1,2008,2,2,2008-03-23,1976-08-27,Australian,Red Bull,Malaysia,31.57015742642026,1,2.0
30,19,4,4,5.0,7,8,8,8,1.0,56,+1:10.041,5548596.0,40.0,10.0,1:36.288,207.24,1,2008,2,2,2008-03-23,1981-07-29,Spanish,Renault,Malaysia,26.650239561943874,1,1.0
31,19,14,9,9.0,12,9,9,9,0.0,56,+1:16.220,5554775.0,55.0,9.0,1:36.206,207.417,1,2008,2,2,2008-03-23,1971-03-27,British,Red Bull,Malaysia,36.99110198494182,1,0.0
32,19,18,11,16.0,11,10,10,10,0.0,56,+1:26.214,5564769.0,56.0,4.0,1:35.715,208.481,1,2008,2,2,2008-03-23,1980-01-19,British,Honda,Malaysia,28.175222450376456,1,0.0
33,19,12,4,6.0,13,11,11,11,0.0,56,+1:32.202,5570757.0,52.0,15.0,1:36.956,205.812,1,2008,2,2,2008-03-23,1985-07-25,Brazilian,Renault,Malaysia,22.661190965092402,1,0.0
34,19,21,10,21.0,17,12,12,12,0.0,55,,,52.0,16.0,1:36.962,205.8,11,2008,2,2,2008-03-23,1973-01-14,Italian,Force India,Malaysia,35.186858316221766,1,0.0
35,19,22,11,17.0,14,13,13,13,0.0,55,,,55.0,11.0,1:36.693,206.372,11,2008,2,2,2008-03-23,1972-05-23,Brazilian,Honda,Malaysia,35.832991101984945,1,0.0
36,19,3,3,7.0,16,14,14,14,0.0,55,,,55.0,13.0,1:36.782,206.182,11,2008,2,2,2008-03-23,1985-06-27,German,Williams,Malaysia,22.7378507871321,1,0.0
37,19,19,8,19.0,21,15,15,15,0.0,55,,,55.0,18.0,1:38.171,203.265,11,2008,2,2,2008-03-23,1979-04-18,British,Super Aguri,Malaysia,28.930869267624914,1,0.0
38,19,11,8,18.0,19,16,16,16,0.0,54,,,53.0,19.0,1:38.504,202.578,12,2008,2,2,2008-03-23,1977-01-28,Japanese,Super Aguri,Malaysia,31.148528405201915,1,0.0
39,19,6,3,8.0,22,17,17,17,0.0,54,,,19.0,17.0,1:37.711,204.222,12,2008,2,2,2008-03-23,1985-01-11,Japanese,Williams,Malaysia,23.195071868583163,1,0.0
40,19,20,5,15.0,15,,R,18,0.0,39,,,37.0,14.0,1:36.870,205.995,5,2008,2,2,2008-03-23,1987-07-03,German,Toro Rosso,Malaysia,20.722792607802873,0,0.0
41,19,13,6,2.0,1,,R,19,0.0,30,,,15.0,5.0,1:35.914,208.048,20,2008,2,2,2008-03-23,1981-04-25,Brazilian,Ferrari,Malaysia,26.910335386721425,0,0.0
42,19,16,10,20.0,20,,R,20,0.0,5,,,3.0,20.0,1:40.330,198.891,9,2008,2,2,2008-03-23,1983-01-11,German,Force India,Malaysia,25.196440793976727,0,0.0
43,19,10,7,12.0,10,,R,21,0.0,1,,,,,,,4,2008,2,2,2008-03-23,1982-03-18,German,Toyota,Malaysia,26.015058179329227,0,0.0
44,19,7,5,14.0,18,,R,22,0.0,0,,,,,,,20,2008,2,2,2008-03-23,1979-02-28,French,Toro Rosso,Malaysia,29.065023956194388,0,0.0
45,20,13,6,2.0,2,1,1,1,10.0,57,1:31:06.970,5466970.0,38.0,3.0,1:33.600,208.153,1,2008,3,3,2008-04-06,1981-04-25,Brazilian,Ferrari,Bahrain,26.94866529774127,1,10.0
46,20,8,6,1.0,4,2,2,2,8.0,57,+3.339,5470309.0,35.0,4.0,1:33.709,207.911,1,2008,3,3,2008-04-06,1979-10-17,Finnish,Ferrari,Bahrain,28.470910335386723,1,8.0
47,20,9,2,4.0,1,3,3,3,6.0,57,+4.998,5471968.0,55.0,5.0,1:33.775,207.765,1,2008,3,3,2008-04-06,1984-12-07,Polish,BMW Sauber,Bahrain,23.329226557152634,1,6.0
48,20,2,2,3.0,6,4,4,4,5.0,57,+8.409,5475379.0,48.0,2.0,1:33.565,208.231,1,2008,3,3,2008-04-06,1977-05-10,German,BMW Sauber,Bahrain,30.90759753593429,1,5.0
49,20,5,1,23.0,5,5,5,5,4.0,57,+26.789,5493759.0,49.0,1.0,1:33.193,209.062,1,2008,3,3,2008-04-06,1981-10-19,Finnish,McLaren,Bahrain,26.46406570841889,1,4.0
50,20,15,7,11.0,7,6,6,6,3.0,57,+41.314,5508284.0,45.0,7.0,1:34.204,206.819,1,2008,3,3,2008-04-06,1974-07-13,Italian,Toyota,Bahrain,33.73305954825462,1,3.0
51,20,17,9,10.0,11,7,7,7,2.0,57,+45.473,5512443.0,51.0,8.0,1:34.305,206.597,1,2008,3,3,2008-04-06,1976-08-27,Australian,Red Bull,Bahrain,31.60848733744011,1,2.0
52,20,3,3,7.0,8,8,8,8,1.0,57,+55.889,5522859.0,57.0,6.0,1:34.072,207.109,1,2008,3,3,2008-04-06,1985-06-27,German,Williams,Bahrain,22.77618069815195,1,1.0
53,20,10,7,12.0,13,9,9,9,0.0,57,+1:09.500,5536470.0,56.0,9.0,1:34.807,205.503,1,2008,3,3,2008-04-06,1982-03-18,German,Toyota,Bahrain,26.053388090349078,1,0.0
54,20,4,4,5.0,10,10,10,10,0.0,57,+1:17.181,5544151.0,35.0,13.0,1:35.194,204.668,1,2008,3,3,2008-04-06,1981-07-29,Spanish,Renault,Bahrain,26.688569472963724,1,0.0
55,20,22,11,17.0,12,11,11,11,0.0,57,+1:17.862,5544832.0,40.0,10.0,1:34.855,205.399,1,2008,3,3,2008-04-06,1972-05-23,Brazilian,Honda,Bahrain,35.87132101300479,1,0.0
56,20,21,10,21.0,18,12,12,12,0.0,56,,,56.0,11.0,1:35.057,204.963,11,2008,3,3,2008-04-06,1973-01-14,Italian,Force India,Bahrain,35.22518822724162,1,0.0
57,20,1,1,22.0,3,13,13,13,0.0,56,,,25.0,19.0,1:35.520,203.969,11,2008,3,3,2008-04-06,1985-01-07,British,McLaren,Bahrain,23.24435318275154,1,0.0
58,20,6,3,8.0,16,14,14,14,0.0,56,,,30.0,17.0,1:35.433,204.155,11,2008,3,3,2008-04-06,1985-01-11,Japanese,Williams,Bahrain,23.23340177960301,1,0.0
59,20,7,5,14.0,15,15,15,15,0.0,56,,,33.0,15.0,1:35.333,204.369,11,2008,3,3,2008-04-06,1979-02-28,French,Toro Rosso,Bahrain,29.10335386721424,1,0.0
60,20,19,8,19.0,21,16,16,16,0.0,56,,,45.0,14.0,1:35.324,204.389,11,2008,3,3,2008-04-06,1979-04-18,British,Super Aguri,Bahrain,28.969199178644764,1,0.0
61,20,11,8,18.0,22,17,17,17,0.0,56,,,56.0,20.0,1:35.891,203.18,11,2008,3,3,2008-04-06,1977-01-28,Japanese,Super Aguri,Bahrain,31.186858316221766,1,0.0
62,20,14,9,9.0,17,18,18,18,0.0,56,,,43.0,16.0,1:35.351,204.331,11,2008,3,3,2008-04-06,1971-03-27,British,Red Bull,Bahrain,37.02943189596167,1,0.0
63,20,16,10,20.0,20,19,19,19,0.0,56,,,55.0,18.0,1:35.442,204.136,12,2008,3,3,2008-04-06,1983-01-11,German,Force India,Bahrain,25.234770704996578,1,0.0
64,20,12,4,6.0,14,,R,20,0.0,40,,,31.0,12.0,1:35.129,204.808,6,2008,3,3,2008-04-06,1985-07-25,Brazilian,Renault,Bahrain,22.699520876112253,0,0.0
65,20,18,11,16.0,9,,R,21,0.0,19,,,11.0,21.0,1:36.125,202.686,4,2008,3,3,2008-04-06,1980-01-19,British,Honda,Bahrain,28.213552361396303,0,0.0
66,20,20,5,15.0,19,,R,22,0.0,0,,,,,,,5,2008,3,3,2008-04-06,1987-07-03,German,Toro Rosso,Bahrain,20.761122518822724,0,0.0
67,21,8,6,1.0,1,1,1,1,10.0,66,1:38:19.051,5899051.0,46.0,1.0,1:21.670,205.191,1,2008,4,4,2008-04-27,1979-10-17,Finnish,Ferrari,Spain,28.528405201916495,1,10.0
68,21,13,6,2.0,3,2,2,2,8.0,66,+3.228,5902279.0,45.0,2.0,1:21.801,204.863,1,2008,4,4,2008-04-27,1981-04-25,Brazilian,Ferrari,Spain,27.006160164271048,1,8.0
69,21,1,1,22.0,5,3,3,3,6.0,66,+4.187,5903238.0,20.0,3.0,1:22.017,204.323,1,2008,4,4,2008-04-27,1985-01-07,British,McLaren,Spain,23.301848049281315,1,6.0
70,21,9,2,4.0,4,4,4,4,5.0,66,+5.694,5904745.0,20.0,4.0,1:22.106,204.102,1,2008,4,4,2008-04-27,1984-12-07,Polish,BMW Sauber,Spain,23.38672142368241,1,5.0
71,21,17,9,10.0,7,5,5,5,4.0,66,+35.938,5934989.0,19.0,8.0,1:22.564,202.969,1,2008,4,4,2008-04-27,1976-08-27,Australian,Red Bull,Spain,31.665982203969882,1,4.0
72,21,18,11,16.0,13,6,6,6,3.0,66,+53.010,5952061.0,66.0,5.0,1:22.353,203.489,1,2008,4,4,2008-04-27,1980-01-19,British,Honda,Spain,28.27104722792608,1,3.0
73,21,6,3,8.0,12,7,7,7,2.0,66,+58.244,5957295.0,48.0,15.0,1:23.549,200.576,1,2008,4,4,2008-04-27,1985-01-11,Japanese,Williams,Spain,23.290896646132786,1,2.0
74,21,15,7,11.0,8,8,8,8,1.0,66,+59.435,5958486.0,45.0,10.0,1:22.758,202.494,1,2008,4,4,2008-04-27,1974-07-13,Italian,Toyota,Spain,33.790554414784395,1,1.0
75,21,2,2,3.0,9,9,9,9,0.0,66,+1:03.073,5962124.0,21.0,7.0,1:22.519,203.08,1,2008,4,4,2008-04-27,1977-05-10,German,BMW Sauber,Spain,30.965092402464066,1,0.0
76,21,21,10,21.0,19,10,10,10,0.0,65,,,40.0,14.0,1:23.439,200.841,11,2008,4,4,2008-04-27,1973-01-14,Italian,Force India,Spain,35.28268309377139,1,0.0
77,21,10,7,12.0,14,11,11,11,0.0,65,,,57.0,12.0,1:23.007,201.886,11,2008,4,4,2008-04-27,1982-03-18,German,Toyota,Spain,26.11088295687885,1,0.0
78,21,14,9,9.0,17,12,12,12,0.0,65,,,57.0,11.0,1:22.842,202.288,11,2008,4,4,2008-04-27,1971-03-27,British,Red Bull,Spain,37.086926762491444,1,0.0
79,21,11,8,18.0,22,13,13,13,0.0,65,,,34.0,17.0,1:24.617,198.045,11,2008,4,4,2008-04-27,1977-01-28,Japanese,Super Aguri,Spain,31.24435318275154,1,0.0
80,21,3,3,7.0,15,,R,14,0.0,41,,,20.0,13.0,1:23.319,201.13,5,2008,4,4,2008-04-27,1985-06-27,German,Williams,Spain,22.833675564681723,0,0.0
81,21,4,4,5.0,2,,R,15,0.0,34,,,15.0,9.0,1:22.683,202.677,5,2008,4,4,2008-04-27,1981-07-29,Spanish,Renault,Spain,26.746064339493497,0,0.0
82,21,22,11,17.0,11,,R,16,0.0,34,,,21.0,16.0,1:23.858,199.837,4,2008,4,4,2008-04-27,1972-05-23,Brazilian,Honda,Spain,35.92881587953457,0,0.0
83,21,5,1,23.0,6,,R,17,0.0,21,,,19.0,6.0,1:22.453,203.243,3,2008,4,4,2008-04-27,1981-10-19,Finnish,McLaren,Spain,26.521560574948666,0,0.0
84,21,19,8,19.0,21,,R,18,0.0,8,,,6.0,20.0,1:26.864,192.922,21,2008,4,4,2008-04-27,1979-04-18,British,Super Aguri,Spain,29.026694045174537,0,0.0
85,21,7,5,14.0,16,,R,19,0.0,7,,,6.0,19.0,1:25.999,194.862,4,2008,4,4,2008-04-27,1979-02-28,French,Toro Rosso,Spain,29.16084873374401,0,0.0
86,21,12,4,6.0,10,,R,20,0.0,6,,,6.0,18.0,1:25.444,196.128,4,2008,4,4,2008-04-27,1985-07-25,Brazilian,Renault,Spain,22.757015742642025,0,0.0
87,21,16,10,20.0,20,,R,21,0.0,0,,,,,,,4,2008,4,4,2008-04-27,1983-01-11,German,Force India,Spain,25.29226557152635,0,0.0
88,21,20,5,15.0,18,,R,22,0.0,0,,,,,,,4,2008,4,4,2008-04-27,1987-07-03,German,Toro Rosso,Spain,20.8186173853525,0,0.0
89,22,13,6,2.0,1,1,1,1,10.0,58,1:26:49.451,5209451.0,16.0,3.0,1:26.666,221.734,1,2008,5,5,2008-05-11,1981-04-25,Brazilian,Ferrari,Turkey,27.044490075290895,1,10.0
90,22,1,1,22.0,3,2,2,2,8.0,58,+3.779,5213230.0,31.0,2.0,1:26.529,222.085,1,2008,5,5,2008-05-11,1985-01-07,British,McLaren,Turkey,23.340177960301162,1,8.0
91,22,8,6,1.0,4,3,3,3,6.0,58,+4.271,5213722.0,20.0,1.0,1:26.506,222.144,1,2008,5,5,2008-05-11,1979-10-17,Finnish,Ferrari,Turkey,28.566735112936346,1,6.0
92,22,9,2,4.0,5,4,4,4,5.0,58,+21.945,5231396.0,17.0,4.0,1:26.780,221.442,1,2008,5,5,2008-05-11,1984-12-07,Polish,BMW Sauber,Turkey,23.42505133470226,1,5.0
93,22,2,2,3.0,9,5,5,5,4.0,58,+38.741,5248192.0,20.0,5.0,1:27.219,220.328,1,2008,5,5,2008-05-11,1977-05-10,German,BMW Sauber,Turkey,31.003422313483917,1,4.0
94,22,4,4,5.0,7,6,6,6,3.0,58,+53.724,5263175.0,57.0,6.0,1:27.280,220.174,1,2008,5,5,2008-05-11,1981-07-29,Spanish,Renault,Turkey,26.784394250513348,1,3.0
95,22,17,9,10.0,6,7,7,7,2.0,58,+1:04.229,5273680.0,14.0,7.0,1:27.630,219.294,1,2008,5,5,2008-05-11,1976-08-27,Australian,Red Bull,Turkey,31.704312114989733,1,2.0
96,22,3,3,7.0,11,8,8,8,1.0,58,+1:11.406,5280857.0,55.0,9.0,1:27.795,218.882,1,2008,5,5,2008-05-11,1985-06-27,German,Williams,Turkey,22.872005475701574,1,1.0
97,22,14,9,9.0,10,9,9,9,0.0,58,+1:15.270,5284721.0,41.0,12.0,1:27.966,218.457,1,2008,5,5,2008-05-11,1971-03-27,British,Red Bull,Turkey,37.125256673511295,1,0.0
98,22,15,7,11.0,8,10,10,10,0.0,58,+1:16.344,5285795.0,52.0,11.0,1:27.926,218.556,1,2008,5,5,2008-05-11,1974-07-13,Italian,Toyota,Turkey,33.828884325804246,1,0.0
99,22,18,11,16.0,13,11,11,11,0.0,57,,,57.0,13.0,1:27.998,218.377,11,2008,5,5,2008-05-11,1980-01-19,British,Honda,Turkey,28.309377138945926,1,0.0
100,22,5,1,23.0,2,12,12,12,0.0,57,,,55.0,8.0,1:27.640,219.269,11,2008,5,5,2008-05-11,1981-10-19,Finnish,McLaren,Turkey,26.559890485968516,1,0.0
101,22,10,7,12.0,15,13,13,13,0.0,57,,,28.0,16.0,1:28.303,217.623,11,2008,5,5,2008-05-11,1982-03-18,German,Toyota,Turkey,26.1492128678987,1,0.0
102,22,22,11,17.0,12,14,14,14,0.0,57,,,56.0,14.0,1:28.017,218.33,11,2008,5,5,2008-05-11,1972-05-23,Brazilian,Honda,Turkey,35.96714579055441,1,0.0
103,22,12,4,6.0,17,15,15,15,0.0,57,,,40.0,10.0,1:27.867,218.703,11,2008,5,5,2008-05-11,1985-07-25,Brazilian,Renault,Turkey,22.795345653661876,1,0.0
104,22,16,10,20.0,19,16,16,16,0.0,57,,,35.0,18.0,1:28.780,216.454,11,2008,5,5,2008-05-11,1983-01-11,German,Force India,Turkey,25.3305954825462,1,0.0
105,22,20,5,15.0,14,17,17,17,0.0,57,,,38.0,15.0,1:28.180,217.926,11,2008,5,5,2008-05-11,1987-07-03,German,Toro Rosso,Turkey,20.856947296372347,1,0.0
106,22,7,5,14.0,18,,R,18,0.0,24,,,19.0,17.0,1:28.745,216.539,22,2008,5,5,2008-05-11,1979-02-28,French,Toro Rosso,Turkey,29.19917864476386,0,0.0
107,22,6,3,8.0,16,,R,19,0.0,1,,,,,,,4,2008,5,5,2008-05-11,1985-01-11,Japanese,Williams,Turkey,23.329226557152634,0,0.0
108,22,21,10,21.0,20,,R,20,0.0,0,,,,,,,4,2008,5,5,2008-05-11,1973-01-14,Italian,Force India,Turkey,35.32101300479124,0,0.0
109,23,1,1,22.0,3,1,1,1,10.0,76,2:00:42.742,7242742.0,71.0,6.0,1:18.510,153.152,1,2008,6,6,2008-05-25,1985-01-07,British,McLaren,Monaco,23.378507871321013,1,10.0
110,23,9,2,4.0,5,2,2,2,8.0,76,+3.064,7245806.0,75.0,5.0,1:17.933,154.286,1,2008,6,6,2008-05-25,1984-12-07,Polish,BMW Sauber,Monaco,23.463381245722108,1,8.0
111,23,13,6,2.0,1,3,3,3,6.0,76,+4.811,7247553.0,76.0,4.0,1:17.886,154.379,1,2008,6,6,2008-05-25,1981-04-25,Brazilian,Ferrari,Monaco,27.082819986310746,1,6.0
112,23,17,9,10.0,9,4,4,4,5.0,76,+19.295,7262037.0,74.0,8.0,1:19.036,152.133,1,2008,6,6,2008-05-25,1976-08-27,Australian,Red Bull,Monaco,31.742642026009584,1,5.0
113,23,20,5,15.0,19,5,5,5,4.0,76,+24.657,7267399.0,74.0,7.0,1:18.787,152.614,1,2008,6,6,2008-05-25,1987-07-03,German,Toro Rosso,Monaco,20.895277207392198,1,4.0
114,23,22,11,17.0,14,6,6,6,3.0,76,+28.408,7271150.0,75.0,9.0,1:19.574,151.104,1,2008,6,6,2008-05-25,1972-05-23,Brazilian,Honda,Monaco,36.00547570157426,1,3.0
115,23,6,3,8.0,13,7,7,7,2.0,76,+30.180,7272922.0,75.0,13.0,1:19.910,150.469,1,2008,6,6,2008-05-25,1985-01-11,Japanese,Williams,Monaco,23.367556468172484,1,2.0
116,23,5,1,23.0,4,8,8,8,1.0,76,+33.191,7275933.0,74.0,2.0,1:17.282,155.586,1,2008,6,6,2008-05-25,1981-10-19,Finnish,McLaren,Monaco,26.598220396988363,1,1.0
117,23,8,6,1.0,2,9,9,9,0.0,76,+33.792,7276534.0,74.0,1.0,1:16.689,156.789,1,2008,6,6,2008-05-25,1979-10-17,Finnish,Ferrari,Monaco,28.605065023956193,1,0.0
118,23,4,4,5.0,7,10,10,10,0.0,75,,,73.0,3.0,1:17.869,154.413,11,2008,6,6,2008-05-25,1981-07-29,Spanish,Renault,Monaco,26.822724161533195,1,0.0
119,23,18,11,16.0,11,11,11,11,0.0,75,,,74.0,10.0,1:19.582,151.089,11,2008,6,6,2008-05-25,1980-01-19,British,Honda,Monaco,28.347707049965777,1,0.0
120,23,10,7,12.0,10,12,12,12,0.0,75,,,75.0,11.0,1:19.618,151.021,11,2008,6,6,2008-05-25,1982-03-18,German,Toyota,Monaco,26.187542778918548,1,0.0
121,23,15,7,11.0,8,13,13,13,0.0,75,,,75.0,12.0,1:19.830,150.62,11,2008,6,6,2008-05-25,1974-07-13,Italian,Toyota,Monaco,33.86721423682409,1,0.0
122,23,2,2,3.0,12,14,14,14,0.0,72,,,72.0,14.0,1:20.251,149.829,14,2008,6,6,2008-05-25,1977-05-10,German,BMW Sauber,Monaco,31.041752224503764,1,0.0
123,23,16,10,20.0,18,,R,15,0.0,67,,,60.0,16.0,1:22.039,146.564,4,2008,6,6,2008-05-25,1983-01-11,German,Force India,Monaco,25.36892539356605,0,0.0
124,23,3,3,7.0,6,,R,16,0.0,59,,,58.0,15.0,1:21.270,147.951,3,2008,6,6,2008-05-25,1985-06-27,German,Williams,Monaco,22.910335386721425,0,0.0
125,23,12,4,6.0,17,,R,17,0.0,47,,,40.0,17.0,1:31.187,131.86,3,2008,6,6,2008-05-25,1985-07-25,Brazilian,Renault,Monaco,22.833675564681723,0,0.0
126,23,21,10,21.0,20,,R,18,0.0,36,,,33.0,18.0,1:32.849,129.5,6,2008,6,6,2008-05-25,1973-01-14,Italian,Force India,Monaco,35.35934291581109,0,0.0
127,23,14,9,9.0,15,,R,19,0.0,7,,,7.0,20.0,1:42.112,117.753,3,2008,6,6,2008-05-25,1971-03-27,British,Red Bull,Monaco,37.163586584531146,0,0.0
128,23,7,5,14.0,16,,R,20,0.0,7,,,7.0,19.0,1:41.150,118.872,4,2008,6,6,2008-05-25,1979-02-28,French,Toro Rosso,Monaco,29.23750855578371,0,0.0
129,24,9,2,4.0,2,1,1,1,10.0,70,1:36:24.227,5784227.0,47.0,4.0,1:17.539,202.473,1,2008,7,7,2008-06-08,1984-12-07,Polish,BMW Sauber,Canada,23.50171115674196,1,10.0
130,24,2,2,3.0,8,2,2,2,8.0,70,+16.495,5800722.0,25.0,2.0,1:17.430,202.758,1,2008,7,7,2008-06-08,1977-05-10,German,BMW Sauber,Canada,31.080082135523615,1,8.0
131,24,14,9,9.0,13,3,3,3,6.0,70,+23.352,5807579.0,36.0,7.0,1:18.085,201.057,1,2008,7,7,2008-06-08,1971-03-27,British,Red Bull,Canada,37.20191649555099,1,6.0
132,24,10,7,12.0,11,4,4,4,5.0,70,+42.627,5826854.0,31.0,17.0,1:19.087,198.51,1,2008,7,7,2008-06-08,1982-03-18,German,Toyota,Canada,26.2258726899384,1,5.0
133,24,13,6,2.0,6,5,5,5,4.0,70,+43.934,5828161.0,11.0,6.0,1:18.006,201.261,1,2008,7,7,2008-06-08,1981-04-25,Brazilian,Ferrari,Canada,27.121149897330596,1,4.0
134,24,15,7,11.0,14,6,6,6,3.0,70,+47.775,5832002.0,38.0,15.0,1:18.870,199.056,1,2008,7,7,2008-06-08,1974-07-13,Italian,Toyota,Canada,33.90554414784394,1,3.0
135,24,22,11,17.0,9,7,7,7,2.0,70,+53.597,5837824.0,35.0,10.0,1:18.301,200.503,1,2008,7,7,2008-06-08,1972-05-23,Brazilian,Honda,Canada,36.04380561259411,1,2.0
136,24,20,5,15.0,19,8,8,8,1.0,70,+54.120,5838347.0,33.0,12.0,1:18.532,199.913,1,2008,7,7,2008-06-08,1987-07-03,German,Toro Rosso,Canada,20.933607118412045,1,1.0
137,24,5,1,23.0,7,9,9,9,0.0,70,+54.433,5838660.0,62.0,11.0,1:18.462,200.091,1,2008,7,7,2008-06-08,1981-10-19,Finnish,McLaren,Canada,26.636550308008214,1,0.0
